1,0,250,1
2,2,250,1
3,1,250,1
4,0,300,2
5,2,150,2
6,1,150,2
7,2,250,3
8,0,250,3
9,1,250,3
10,0,300,4
11,2,300,4
12,1,300,4
13,0,150,5
14,2,150,5
15,1,150,5
16,0,250,6
17,0,220,7
18,2,150,7
19,2,200,8
20,0,350,8
21,1,200,8
22,0,300,9
23,2,100,9
24,1,100,9
25,1,150,7
26,0,300,10
27,1,150,10
28,2,150,10
29,0,350,11
30,1,150,11
31,2,150,11
32,0,250,12
33,2,100,12
34,1,100,12
35,1,150,13
36,2,150,13
37,0,250,14
38,1,125,14
39,2,125,14
40,1,250,15
41,0,250,15
42,0,250,16
43,2,150,16
44,1,150,16
45,0,200,17
46,1,200,17
47,2,200,17
48,0,250,13
49,0,250,18
50,2,150,19
51,1,200,18
52,2,200,18
53,0,150,19
54,0,225,20
55,2,150,20
56,1,150,20
57,1,150,19
58,0,150,21
59,2,100,21
60,1,100,21
61,0,100,22
62,1,100,22
63,0,200,23
64,1,200,23
65,2,200,23
66,1,150,24
67,0,250,24
68,2,150,24
69,1,150,25
70,0,250,25
71,2,150,25
72,0,350,26
73,1,250,26
74,2,250,26
75,0,200,27
76,1,200,27
77,2,200,27
78,2,200,28
79,0,325,28
80,1,200,28
81,0,300,29
82,1,150,29
83,2,150,29
84,0,400,30
85,1,200,30
86,2,200,30
87,0,300,31
88,1,250,31
89,2,250,31
90,1,250,32
91,0,300,32
92,0,250,33
93,1,200,33
94,2,200,33
95,0,200,34
96,1,200,34
97,2,200,34
98,1,180,35
99,0,180,35
100,2,180,35
101,0,300,36
102,1,300,36
103,2,300,36
104,1,225,37
105,0,225,37
106,2,225,37
107,2,175,38
108,0,175,38
109,1,175,38
110,0,200,39
111,0,250,40
112,1,250,40
113,2,250,40
114,0,185,41
115,2,185,41
116,1,185,41
117,0,285,42
118,1,285,42
119,1,250,43
120,2,250,43
121,0,250,43
122,0,325,44
123,2,185,44
124,1,185,44
125,0,225,45
126,1,225,45
127,2,225,45
128,2,225,46
129,0,225,46
130,1,225,46
131,0,300,47
132,1,300,47
133,2,250,48
134,1,250,48
135,0,250,48
136,0,0,49
137,1,0,49
138,2,330,50
139,0,330,50
140,1,330,50
141,1,225,51
142,0,225,51
143,2,225,51
144,0,120,52
145,2,120,52
146,1,120,52
147,2,100,53
148,0,300,53
149,1,100,53
150,0,200,54
151,1,200,54
152,0,180,55
153,1,180,55
154,0,150,56
155,1,0,56
156,0,120,57
157,1,120,57
158,0,150,58
159,1,150,58
160,2,0,58
161,2,0,56
162,1,200,59
163,0,200,59
164,2,200,59
165,2,0,60
166,0,220,60
167,0,300,61
168,2,300,61
169,1,220,60
170,1,300,61
171,0,150,62
172,1,150,62
173,1,250,63
174,0,250,63
175,0,280,64
176,1,280,64
177,2,280,64
178,0,150,65
179,2,150,65
180,1,150,65
181,0,200,66
182,0,140,67
183,1,180,67
184,1,200,68
185,0,200,68
186,0,250,69
187,0,250,70
188,1,250,70
189,2,0,70
190,0,300,71
191,1,150,71
192,0,200,72
193,1,100,72
194,2,100,72
195,0,200,73
196,1,100,73
197,2,100,73
198,1,130,74
199,0,130,74
200,2,130,74
201,0,200,75
202,2,200,75
203,1,200,75
204,0,180,76
205,1,180,76
206,2,0,76
207,0,110,77
208,1,110,77
209,2,110,77
210,0,300,78
211,0,0,79
212,2,0,79
213,1,0,79
214,0,140,80
215,1,140,80
216,2,140,80
217,0,220,81
218,0,130,82
219,1,130,82
220,2,130,82
221,0,200,83
222,1,200,83
223,2,200,83
224,0,180,84
225,1,180,84
226,2,180,84
